,symbol,date,Ra
1,ARE.TO,02-07-2021,0
2,ARE.TO,05-07-2021,0.015930059
3,ARE.TO,06-07-2021,0.002721079
4,ARE.TO,07-07-2021,-0.015334332
5,ARE.TO,08-07-2021,0.003855642
6,ARE.TO,09-07-2021,0.004388393
7,ARE.TO,12-07-2021,-0.001095363
8,ARE.TO,13-07-2021,-0.002743364
9,ARE.TO,14-07-2021,-0.001099523
10,ARE.TO,15-07-2021,0.00164872
11,ARE.TO,16-07-2021,-0.002199047
12,ARE.TO,19-07-2021,-0.001652464
13,ARE.TO,20-07-2021,0.003302313
14,ARE.TO,21-07-2021,0.019587007
15,ARE.TO,22-07-2021,-0.003778634
16,ARE.TO,23-07-2021,0.104169983
17,ARE.TO,26-07-2021,-0.020680138
18,ARE.TO,27-07-2021,0.011377794
19,ARE.TO,28-07-2021,-0.003942847
20,ARE.TO,29-07-2021,0.009339021
21,ARE.TO,30-07-2021,-0.004412973
22,ARE.TO,03-08-2021,0.000491387
23,ARE.TO,04-08-2021,-0.011361034
24,ARE.TO,05-08-2021,-0.009483425
25,ARE.TO,06-08-2021,0.004503356
26,ARE.TO,09-08-2021,0.008946274
27,ARE.TO,10-08-2021,0.01180549
28,ARE.TO,11-08-2021,0.005850767
29,ARE.TO,12-08-2021,0.013040575
30,ARE.TO,13-08-2021,-0.009158946
31,ARE.TO,16-08-2021,-0.008754912
32,ARE.TO,17-08-2021,-0.00293547
33,ARE.TO,18-08-2021,0.017966051
34,ARE.TO,19-08-2021,-0.004823916
35,ARE.TO,20-08-2021,0.003861022
36,ARE.TO,23-08-2021,0.008155463
37,ARE.TO,24-08-2021,-0.008637331
38,ARE.TO,25-08-2021,-0.000482052
39,ARE.TO,26-08-2021,0.003849873
40,ARE.TO,27-08-2021,-0.000480382
41,ARE.TO,30-08-2021,-0.006750228
42,ARE.TO,31-08-2021,-0.002907074
43,ARE.TO,01-09-2021,-0.001942673
44,ARE.TO,02-09-2021,0.032993666
45,ARE.TO,03-09-2021,0.000470311
46,ARE.TO,07-09-2021,0.026903254
47,ARE.TO,08-09-2021,-0.001373963
48,ARE.TO,09-09-2021,-0.006898136
49,ARE.TO,10-09-2021,0.009644085
50,ARE.TO,13-09-2021,0.002738521
51,ARE.TO,14-09-2021,-0.001368323
52,ARE.TO,15-09-2021,-0.005950946
53,ARE.TO,16-09-2021,-0.018536274
54,ARE.TO,17-09-2021,-0.022706728
55,ARE.TO,20-09-2021,-0.017861872
56,ARE.TO,21-09-2021,-0.010773929
57,ARE.TO,22-09-2021,0.011747507
58,ARE.TO,23-09-2021,-0.003687724
59,ARE.TO,24-09-2021,-0.006920394
60,ARE.TO,27-09-2021,0.004948056
61,ARE.TO,28-09-2021,-0.009920766
62,ARE.TO,29-09-2021,0.000996562
63,ARE.TO,30-09-2021,-0.046377738
64,ARE.TO,01-10-2021,-0.003134746
65,ARE.TO,04-10-2021,0.001568523
66,ARE.TO,05-10-2021,0.007806545
67,ARE.TO,06-10-2021,-0.013044797
68,ARE.TO,07-10-2021,0.013562962
69,ARE.TO,08-10-2021,0.004652374
70,ARE.TO,12-10-2021,0.010772149
71,ARE.TO,13-10-2021,0.009141811
72,ARE.TO,14-10-2021,0.010060396
73,ARE.TO,15-10-2021,0.003497331
74,ARE.TO,18-10-2021,-0.003998007
75,ARE.TO,19-10-2021,0.000500676
76,ARE.TO,20-10-2021,0.019331506
77,ARE.TO,21-10-2021,-0.011355442
78,ARE.TO,22-10-2021,-0.000496648
79,ARE.TO,25-10-2021,0.016749161
80,ARE.TO,26-10-2021,0.003900541
81,ARE.TO,27-10-2021,-0.025629693
82,ARE.TO,28-10-2021,0.018303701
83,ARE.TO,29-10-2021,-0.099928726
84,ARE.TO,01-11-2021,-0.022460546
85,ARE.TO,02-11-2021,-0.026952727
86,ARE.TO,03-11-2021,-0.014908591
87,ARE.TO,04-11-2021,0.008628182
88,ARE.TO,05-11-2021,-0.008628182
89,ARE.TO,08-11-2021,0.008628182
90,ARE.TO,09-11-2021,-0.010362672
91,AEM.TO,02-07-2021,0
92,AEM.TO,05-07-2021,-0.000657723
93,AEM.TO,06-07-2021,0.012682375
94,AEM.TO,07-07-2021,0.003242842
95,AEM.TO,08-07-2021,-0.017241842
96,AEM.TO,09-07-2021,0.00813537
97,AEM.TO,12-07-2021,-0.015673671
98,AEM.TO,13-07-2021,0.025427373
99,AEM.TO,14-07-2021,0.007092602
100,AEM.TO,15-07-2021,0.013529262
101,AEM.TO,16-07-2021,-0.021657761
102,AEM.TO,19-07-2021,0.002587715
103,AEM.TO,20-07-2021,-0.002069533
104,AEM.TO,21-07-2021,-0.005583429
105,AEM.TO,22-07-2021,-0.012051524
106,AEM.TO,23-07-2021,-0.006876549
107,AEM.TO,26-07-2021,0.016842532
108,AEM.TO,27-07-2021,0.004816171
109,AEM.TO,28-07-2021,0.004663916
110,AEM.TO,29-07-2021,0.040899433
111,AEM.TO,30-07-2021,0.001363838
112,AEM.TO,03-08-2021,-0.005591155
113,AEM.TO,04-08-2021,-0.010143509
114,AEM.TO,05-08-2021,-0.027304467
115,AEM.TO,06-08-2021,-0.017089987
116,AEM.TO,09-08-2021,-0.025047911
117,AEM.TO,10-08-2021,-0.022098904
